word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
ουκ,0,0,0,0,0,0,0,0,0,0,0,0,0
αναστρεπτεον,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
την,0,0,0,0,0,0,0,0,0,0,0,0,0
προθ,0,0,0,0,0,0,0,0,0,0,0,0,0.1
ως,0,0,0,0,0,0,0,0,0,0,0,0,0
τυραννιων,0,0,0,0,0,0,0,0,0,0,0,0,0.1
και,0,0,0,0,0,0,0,0,0,0,0,0,0
πτολεμαιος,0,0,0,0,0,0,0,0,0,0,0,0,0.1
οποτε,0,0,0,0,0,0,0,0,0,0,0,0,0.1
γαρ,0,0,0,0,0,0,0,0,0,0,0,0,0
γενικῃ,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
συνταττεται,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
απο,0,0,0,0,0,0,0,0,0,0,0,0,0
τηρει,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
τον,0,0,0,0,0,0,0,0,0,0,0,0,0
τονον,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
τις,0,0,0,0,0,0,0,0,0,0,0,0,0
ενα,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
μηνα,0,0,0,0,0,0,0,0,0,0,0,0,0.1
μενων,0,0,0,0,0,0,0,0,0,0,0,0,0.1
ης,0,0,0,0,0,0,0,0,0,0,0,0,0
αλοχοιο,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
το,0,0,0,0,0,0,0,0,0,0,0,0,0
ημιστιχιον,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
τοις,0,0,0,0,0,0,0,0,0,0,0,0,0
επανω,0,0.10526316,0,0,0,0,0,0,0,0,0,0,0
εξης,0,0.15789474,0,0.16666667,0,0,0,0,0,0,0,0,0
προσδοτεον,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
εαν,0,0,0,0,0.25,0,0,0,0,0,0,0,0
μεν,0,0,0,0,0,0,0,0,0,0,0,0,0
ουν,0,0,0,0,0,0,0,0,0,0,0,0,0
μονος,0,0,0,0,0,0,0,0,0,0,0,0,0.1
θωραξ,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
εσται,0,0,0.17647059,0,0,0,0,0,0,0,0,0,0
του,0,0,0,0,0,0,0,0,0,0,0,0,0
διος,0,0.10526316,0,0,0,0,0,0,0,0,0,0,0
δε,0,0,0,0,0,0,0,0,0,0,0,0,0
παντα,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
τα,0,0,0,0,0,0,0,0,0,0,0,0,0
οπλα,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
αυτου,0,0,0,0,0,0,0,0,0,0,0,0,0
οπερ,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
πιθανον,0,0,0,0,0,0,0,0,0,0.2,0,0,0
ουτως,0,0,0,0,0,0,0,0,0,0,0,0,0
αρισταρχος,0,0,0,0,0,0,0,0,0,0,0,0,0.1
οτι,0,0,0,0,0,0,0,0,0,0,0,0,0
εντευθ,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
εις,0,0,0,0,0,0,0,0,0,0,0,0,0
μετενηνεκται,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
κηρυξ,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
αιτιαν,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
λεγει,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
δι,0,0,0,0,0,0,0,0,0,0,0,0,0
ην,0,0,0,0,0,0,0,0,0,0,0,0,0
ου,0,0,0,0,0,0,0,0,0,0,0,0,0
πολεμητεον,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
εκτωρ,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
αυτον,0,0,0,0,0,0,0,0,0,0,0,0,0
μετα,0,0,0,0,0,0,0,0,0,0,0,0,0
προφασεως,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
μη,0,0,0,0,0,0,0,0,0,0,0,0,0
συλλυετω,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
παροξυντεον,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
μεσος,0,0,0,0,0,0,0,0,0,0,0,0.14285714,0
εστι,0,0,0,0,0,0,0,0,0,0,0,0,0
αοριστοσ,0,0,0,0,0,0,0,0,0,0,0,0.14285714,0
ενικλαν,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
εμποδιζειν,0,0,0,0,0,0,0,0,0,0,0.125,0,0
μεταφορα,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
των,0,0,0,0,0,0,0,0,0,0,0,0,0
τας,0,0,0,0,0,0,0,0,0,0,0,0,0
ασπιδας,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
αποθραυομενων,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
δορατων,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
γραπτεον,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
οττι,0,0,0,0,0,0,0,0,0.15384615,0,0,0,0
κεν,0,0,0,0,0,0,0,0,0.15384615,0,0,0,0
ειπω,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
οιον,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
κατακαμπτειν,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
υπ,0,0,0,0,0,0,0,0,0,0,0,0,0
εμου,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
ειρημενα,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
παλιν,0,0,0,0,0,0,0,0,0,0,0,0,0
εν,0,0,0,0,0,0,0,0,0,0,0,0,0
οις,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
ρις,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
φησιν,0,0,0,0,0,0,0,0,0,0,0,0,0
ειπῃ,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
γραφεται,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0
κακως,0,0,0,0,0,0,0,0,0,0,0.125,0,0
ταυτ,0,0,0,0,0,0,0,0,0,0.2,0,0,0
κεινται,0,0,0,0,0,0.22222222,0,0,0,0,0,0,0
τε,0,0,0,0,0,0,0,0,0,0,0,0,0
δολωνα,0,0,0,0,0,0,0,0,0,0.2,0,0,0
συλλαμβανουσιν,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0
οι,0,0,0,0,0,0,0,0,0,0,0,0,0
περι,0,0,0,0,0,0,0,0,0,0,0,0,0
διομηδη,0,0,0,0,0,0,0,0,0,0,0.125,0,0
σφισι,0,0,0,0,0,0,0,0,0,0.2,0,0,0
νυν,0,0,0,0,0,0,0,0,0,0,0,0,0
ορθοτονητεον,0,0,0,0,0,0,0,0,0,0,0.125,0,0
δια,0,0,0,0,0,0,0,0,0,0,0,0,0
συνταξιν,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0
μεταληψιν,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0
συνθετον,0,0,0,0,0,0,0,0,0,0,0.125,0,0
τουτου,0,0,0,0,0,0,0,0,0,0,0,0,0
εως,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
αψ,0,0,0,0,0,0,0,0,0,0,0,0,0
αναχωρησουσιν,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
αθετουνται,0,0,0,0,0,0,0,0.125,0,0,0,0,0
στιχοι,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
τρεις,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
αστερισκοι,0,0,0,0,0,0,0,0.125,0,0,0,0,0
παρακεινται,0,0,0,0,0,0,0,0.125,0,0,0,0,0
εκ,0,0,0,0,0,0,0,0,0,0,0,0,0
νεστορος,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
λογων,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
μετενηνεγμενοι,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
εισιν,0,0,0,0,0,0,0,0,0,0,0,0,0
δεοντως,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
γελοιος,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
οδυσσευς,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
ηδη,0,0,0.11764706,0,0,0,0,0,0,0,0,0,0
της,0,0,0,0,0,0,0,0,0,0,0,0,0
ωρας,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
προκεκοφαιας,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
ερωτων,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
μενουσιν,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
απερχονται,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
επι,0,0,0,0,0,0,0,0,0,0,0,0,0
πο,0,0,0,0,0,0,0,0,0,0,0,0,0
αν,0,0,0,0,0,0,0,0,0,0,0,0,0
τουτων,0,0,0,0,0,0,0,0,0,0,0,0,0
ειρημενων,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
δολων,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
προς,0,0,0,0,0,0,0,0.125,0,0,0,0,0
αλλα,0,0,0,0,0,0,0,0,0,0,0,0,0
αποκρινεται,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
ταυτα,0,0,0,0,0,0,0,0,0,0,0,0,0
ασσα,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
ενθαδε,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
ψιλωτεον,0,0.10526316,0,0,0,0,0,0,0,0,0,0,0
ισοδυναμει,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
τινα,0,0,0,0,0,0,0,0,0,0,0,0,0
αμφοτεροι,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
οικειοτερον,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
προ,0,0,0,0,0,0,0,0,0,0,0,0,0
πατροκλου,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
εξοδου,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
οτε,0,0,0,0,0,0,0,0,0,0,0,0,0
τῳ,0,0,0,0,0,0,0,0,0,0,0,0,0
οντι,0,0,0,0,0,0,0,0,0,0,0.125,0,0
κεκμηκασι,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
ναυσι,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
μαχης,0,0,0,0,0,0,0,0,0,0,0.125,0,0
συνεστωσης,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0
ουδε,0,0,0,0,0,0,0,0,0,0,0,0,0
συμβεβηκεν,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
τους,0,0,0,0,0,0,0,0,0,0,0,0,0
τρωας,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
ταις,0,0,0,0,0,0,0,0,0,0,0,0,0
ναυσιν,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
αυταις,0,0,0,0,0,0,0,0,0,0,0,0.14285714,0
κλισιαις,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
ειναι,0,0,0,0,0,0,0,0,0,0,0,0,0
εντος,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
τειχους,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
γεγονοτας,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
διασταλτεον,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0
κατα,0,0,0,0,0,0,0,0,0,0,0,0,0
τελος,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
στιχου,0,0,0,0,0,0,0,0,0,0,0.125,0,0
ρεια,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
συναπτοντες,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0
εσχατην,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
λεξιν,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
ματην,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
επιτηδευουσι,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0
μαλλον,0,0,0,0,0,0,0,0,0,0,0,0,0
κεκμηωτας,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0
αϋτῃ,0,0,0,0,0,0,0,0,0,0,0,0,0.1
λογον,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
εχει,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
δασυντεον,0,0,0,0,0,0,0,0,0,0.2,0,0,0
αδιναων,0,0,0,0,0,0,0,0,0,0,0,0.14285714,0
αδην,0,0,0,0,0,0,0,0,0,0,0,0.14285714,0
αδηνος,0,0,0,0,0,0,0,0,0,0,0,0.14285714,0
κινησις,0,0,0,0,0,0,0,0,0,0,0,0.14285714,0
συσταλτεον,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
υπερμενεϊ,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
αγανος,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0
τοιουτο,0,0,0,0,0,0,0,0,0,0,0,0,0.1
